country,year,policy,tariff_pct,local_content_pct,products_covered_pct,derisk_intensity,source_reference
Morocco,2022,Local content condition in Noor solar complex expansions,0.0,30.0,8.0,0.13,MASEN Noor Solar Complex Procurement Rules
Russia,2022,Import substitution mandates for energy equipment,0.0,40.0,20.0,0.22,Government Resolution No. 719 (amended 2022)
Malaysia,2023,Anti-dumping duties on cold-rolled stainless steel (solar mounting),12.0,0.0,3.0,0.111,MITI Trade Remedies Act; AD Determination 2023/01
Thailand,2022,Safeguard investigation on solar cells,15.0,0.0,8.0,0.16,DFT Safeguard Investigation SG-2022-01; Royal Gazette
Philippines,2023,Renewable energy local content rules for FIT eligibility,0.0,20.0,10.0,0.11,DOE Department Circular No. 2023-05-0012
Colombia,2022,Import duties on solar panels increased from 0% to 10%,10.0,0.0,8.0,0.12,DIAN Decree 1881/2021; Diario Oficial
Argentina,2023,Import license requirements for solar equipment,0.0,0.0,10.0,0.05,AFIP General Resolution No. 5272/2023; Boletín Oficial
Nigeria,2024,Import substitution strategy for solar components,15.0,10.0,8.0,0.19,FMITI National Solar Manufacturing Strategy 2024
Egypt,2023,Local content requirement in Benban solar park Phase 2,0.0,25.0,8.0,0.1149999999999999,NREA Benban Solar Park Phase 2 Tender Documents
Bangladesh,2022,Import duties on solar panels increased,10.0,0.0,8.0,0.12,NBR SRO No. 4/2022; Bangladesh Gazette
Pakistan,2023,Solar panel import restrictions (foreign exchange),0.0,0.0,12.0,0.0599999999999999,"SBP Circular No. 13, 2023; State Bank of Pakistan"
Taiwan,2022,Anti-dumping duty on Chinese solar products maintained,18.0,0.0,8.0,0.184,"MOF AD Duty Renewal Ref. 1110001234, 2022"
Norway,2024,Battery supply chain partnership requirements (outside EU),0.0,0.0,12.0,0.0599999999999999,NFD National Battery Strategy 2024
France,2023,Carbon footprint criteria for solar PV in public procurement,0.0,0.0,12.0,0.0599999999999999,"Arrêté du 26 septembre 2023, JORF n°0225"
Germany,2024,Resilience criteria in Hydrogen Core Network procurement,0.0,0.0,8.0,0.04,Bundesnetzagentur H2-Kernnetz Auswahlkriterien 2024
Italy,2023,National content preference in PNRR-funded renewable projects,0.0,15.0,10.0,0.095,"Gazzetta Ufficiale, Decreto-Legge 13/2023; PNRR"
